PO CREATION DATE,SUPPLIER ACCOUNT,PO NUMBER,LineNumber,Part Number,QTY,UNIT COST ,TOTAL LINE AMOUNT,Currency,RequestedDeliveryDate
02/07/2021,4334,PO422-000001,1,PartNo1,10,11.77,117.7,GBP,02/07/2021
03/07/2021,3754,PO422-000002,1,PartNo2,10,4.14,41.4,GBP,03/07/2021
03/07/2021,3270,PO422-000003,1,PartNo3,4,9.99,39.96,GBP,03/07/2021
03/07/2021,4423,PO422-000004,1,PartNo4,2,39,78,GBP,03/07/2021
03/07/2021,4402,PO422-000005,2,PartNo5,1,4.13,4.13,GBP,07/07/2021
03/07/2021,473,PO422-000005,1,PartNo6,12,3.45,41.4,GBP,07/07/2021
03/07/2021,3754,PO422-000006,1,PartNo7,2,61.69,123.38,GBP,03/07/2021
03/07/2021,2430,PO422-000007,1,PartNo8,6,57.14,342.84,GBP,07/07/2021
03/07/2021,3270,PO422-000008,1,PartNo9,5,34.68,173.4,EUR,03/07/2021
03/07/2021,4140,PO422-000009,2,PartNo10,1,4.95,4.95,GBP,03/07/2021
03/07/2021,3270,PO422-000009,1,PartNo11,1,148.68,148.68,GBP,03/07/2021
03/07/2021,4430,PO422-000010,1,PartNo12,50,1.8,90,GBP,03/07/2021
03/07/2021,5215,PO422-000011,1,PartNo13,1500,1,1500,GBP,03/07/2021
03/07/2021,4509,PO422-000012,1,PartNo14,1,9.95,9.95,GBP,03/07/2021
03/07/2021,2430,PO422-000012,2,PartNo15,1,9.95,9.95,GBP,03/07/2021
03/07/2021,42379,PO422-000013,1,PartNo16,1,10.98,10.98,GBP,03/07/2021
03/07/2021,3013,PO422-000013,2,PartNo17,1,8.93,8.93,GBP,03/07/2021
03/07/2021,3270,PO422-000014,1,PartNo14,1,9.95,9.95,GBP,06/07/2021
03/07/2021,274,PO422-000014,2,PartNo15,1,9.95,9.95,GBP,06/07/2021
03/07/2021,3397,PO422-000015,2,PartNo17,1,8.93,8.93,GBP,06/07/2021
03/07/2021,4592,PO422-000015,1,PartNo16,1,10.98,10.98,GBP,06/07/2021
03/07/2021,4423,PO422-000016,1,PartNo18,2,33,66,GBP,03/07/2021
03/07/2021,4639,PO422-000017,1,PartNo14,1,9.95,9.95,GBP,06/07/2021
03/07/2021,2430,PO422-000017,2,PartNo15,1,9.95,9.95,GBP,06/07/2021
03/07/2021,15276,PO422-000018,1,PartNo16,1,10.98,10.98,GBP,06/07/2021
03/07/2021,274,PO422-000018,2,PartNo17,1,8.93,8.93,GBP,06/07/2021
03/07/2021,5089,PO422-000021,2,PartNo10,1,50,50,GBP,15/07/2021
03/07/2021,3270,PO422-000021,1,PartNo19,1,440,440,GBP,15/07/2021
03/07/2021,473,PO422-000023,1,PartNo20,1,20.23,20.23,GBP,03/07/2021
03/07/2021,4430,PO422-000024,1,PartNo21,3,13.32,39.96,GBP,03/07/2021
03/07/2021,2430,PO422-000025,2,PartNo10,1,24.99,24.99,GBP,06/07/2021
03/07/2021,2430,PO422-000025,1,PartNo22,7,19.95,139.65,GBP,06/07/2021
03/07/2021,4090,PO422-000026,1,PartNo23,50,0.55,27.5,GBP,06/07/2021
03/07/2021,3270,PO422-000027,2,PartNo24,1,88,88,GBP,14/09/2021
03/07/2021,3184,PO422-000027,1,PartNo25,9,154.4,1389.6,GBP,14/09/2021
03/07/2021,4430,PO422-000028,1,PartNo26,30,4.75,142.5,GBP,12/07/2021
03/07/2021,3270,PO422-000029,2,PartNo5,1,25,25,GBP,03/07/2021
03/07/2021,2866,PO422-000029,1,PartNo27,1,415,415,GBP,03/07/2021
03/07/2021,2505,PO422-000030,1,PartNo28,2,40.4,80.8,GBP,24/09/2021
03/07/2021,16131,PO422-000031,2,PartNo10,1,88,88,GBP,10/08/2021
03/07/2021,2430,PO422-000031,1,PartNo29,1,152,152,GBP,10/08/2021
03/07/2021,5170,PO422-000032,1,PartNo30,3,38.91,116.73,GBP,03/07/2021
03/07/2021,43065,PO422-000033,1,PartNo31,6,62.49,374.94,GBP,08/07/2021
03/07/2021,3406,PO422-000034,2,PartNo10,1,10,10,GBP,07/07/2021
03/07/2021,2266,PO422-000034,1,PartNo32,2,19,38,GBP,07/07/2021
03/07/2021,2430,PO422-000035,1,PartNo33,5,93.89,469.45,GBP,03/07/2021
03/07/2021,274,PO422-000035,3,PartNo34,5,36.46,182.3,GBP,15/08/2021
03/07/2021,2656,PO422-000035,2,PartNo35,40,10.8,432,GBP,15/08/2021
03/07/2021,2456,PO422-000036,1,PartNo36,1,60,60,GBP,03/07/2021
03/07/2021,2430,PO422-000037,1,PartNo37,5,66.74,333.7,GBP,08/07/2021
03/07/2021,2430,PO422-000037,2,PartNo38,5,136,680,GBP,08/07/2021
03/07/2021,2430,PO422-000038,1,PartNo10,1,11,11,GBP,13/07/2021
03/07/2021,926,PO422-000039,2,PartNo39,1,9.5,9.5,GBP,08/07/2021
03/07/2021,4891,PO422-000039,1,PartNo40,1,6.24,6.24,GBP,08/07/2021
03/07/2021,5122,PO422-000040,2,PartNo41,1,7.21,7.21,GBP,08/07/2021
03/07/2021,4430,PO422-000040,3,PartNo42,1,8.91,8.91,GBP,08/07/2021
03/07/2021,14559,PO422-000040,4,PartNo43,1,68.08,68.08,GBP,08/07/2021
03/07/2021,3950,PO422-000040,1,PartNo44,1,6.41,6.41,GBP,08/07/2021
03/07/2021,2430,PO422-000041,1,PartNo45,2,179.75,359.5,GBP,09/07/2021
03/07/2021,4402,PO422-000041,2,PartNo46,2,310.69,621.38,GBP,09/07/2021
03/07/2021,2505,PO422-000042,1,PartNo47,2,29.97,59.94,GBP,12/07/2021
03/07/2021,15391,PO422-000043,1,PartNo48,100,2.49,249,GBP,14/07/2021
03/07/2021,4564,PO422-000044,1,PartNo49,12,103.33,1239.96,GBP,07/07/2021
03/07/2021,15427,PO422-000045,1,PartNo50,12,23.58,282.96,GBP,08/07/2021
03/07/2021,15457,PO422-000046,1,PartNo51,12,47.87,574.44,GBP,06/07/2021
03/07/2021,5058,PO422-000047,1,PartNo52,12,16.94,203.28,GBP,09/07/2021
03/07/2021,15684,PO422-000047,2,PartNo53,12,30.22,362.64,GBP,09/07/2021
03/07/2021,2430,PO422-000047,3,PartNo54,8,10.17,81.36,GBP,09/07/2021
03/07/2021,14559,PO422-000048,3,PartNo5,1,15,15,GBP,09/07/2021
03/07/2021,3270,PO422-000048,1,PartNo55,8,13.59,108.72,GBP,07/07/2021
03/07/2021,4213,PO422-000049,2,PartNo5,1,6.66,6.66,GBP,12/07/2021
03/07/2021,16002,PO422-000049,1,PartNo56,30,18.75,562.5,GBP,12/07/2021
03/07/2021,4884,PO422-000050,2,PartNo24,1,0,0,GBP,08/07/2021
03/07/2021,3013,PO422-000050,1,PartNo57,10,0.96,9.6,GBP,08/07/2021
03/07/2021,42309,PO422-000051,1,PartNo58,4,7.49,29.96,GBP,08/07/2021
03/07/2021,2969,PO422-000052,1,PartNo59,8,1.24,9.92,GBP,08/07/2021
03/07/2021,4402,PO422-000052,2,PartNo60,4,16.78,67.12,GBP,08/07/2021
03/07/2021,42309,PO422-000052,3,PartNo61,6,4.28,25.68,GBP,08/07/2021
03/07/2021,3406,PO422-000053,4,PartNo10,1,0,0,GBP,03/07/2021
03/07/2021,2914,PO422-000053,1,PartNo62,3,13.47,40.41,GBP,03/07/2021
03/07/2021,2505,PO422-000053,2,PartNo63,4,15.5,62,GBP,03/07/2021
03/07/2021,2430,PO422-000053,3,PartNo64,2,3.53,7.06,GBP,03/07/2021
03/07/2021,4090,PO422-000054,2,PartNo10,1,20,20,GBP,13/07/2021
03/07/2021,2477,PO422-000054,1,PartNo65,1,396,396,GBP,13/07/2021
03/07/2021,4371,PO422-000055,1,PartNo66,6,286.14,1716.84,GBP,12/07/2021
04/07/2021,4283,PO422-000056,4,PartNo24,1,14.2,14.2,GBP,17/09/2021
04/07/2021,3779,PO422-000056,3,PartNo10,1,14.2,14.2,GBP,22/10/2021
04/07/2021,2430,PO422-000056,2,PartNo67,2,190.75,381.5,GBP,22/10/2021
04/07/2021,4884,PO422-000056,1,PartNo68,1,285.69,285.69,GBP,14/09/2021
04/07/2021,3058,PO422-000057,3,PartNo10,1,14,14,GBP,06/07/2021
04/07/2021,4069,PO422-000057,1,PartNo69,28,3.81,106.68,GBP,06/07/2021
04/07/2021,2533,PO422-000057,2,PartNo70,28,2.09,58.52,GBP,06/07/2021
04/07/2021,16763,PO422-000059,1,PartNo71,4,0.6,2.4,GBP,06/07/2021
04/07/2021,4318,PO422-000059,8,PartNo72,2,17.99,35.98,GBP,06/07/2021
04/07/2021,5258,PO422-000059,2,PartNo73,1,10.6,10.6,GBP,06/07/2021
04/07/2021,15688,PO422-000059,3,PartNo74,1,8.03,8.03,GBP,06/07/2021
04/07/2021,3406,PO422-000059,4,PartNo75,2,7.97,15.94,GBP,06/07/2021
04/07/2021,2430,PO422-000059,5,PartNo76,1,14.99,14.99,GBP,06/07/2021
04/07/2021,39245,PO422-000059,6,PartNo77,2,3.1,6.2,GBP,06/07/2021
04/07/2021,14510,PO422-000059,7,PartNo78,2,3.1,6.2,GBP,06/07/2021
04/07/2021,5140,PO422-000059,9,PartNo79,2,18.61,37.22,GBP,06/07/2021
04/07/2021,2893,PO422-000059,10,PartNo80,2,36.59,73.18,GBP,06/07/2021
04/07/2021,2430,PO422-000059,11,PartNo81,1,4.38,4.38,GBP,06/07/2021
04/07/2021,44552,PO422-000059,12,PartNo82,2,3.37,6.74,GBP,06/07/2021
04/07/2021,4169,PO422-000061,1,PartNo83,2,30.33,60.66,GBP,04/07/2021
04/07/2021,4099,PO422-000063,1,PartNo84,1,168,168,EUR,04/07/2021
04/07/2021,3548,PO422-000064,1,PartNo85,40,0.95,38,GBP,04/07/2021
04/07/2021,5122,PO422-000065,1,PartNo86,1,21.14,21.14,GBP,04/07/2021
04/07/2021,3607,PO422-000066,6,PartNo5,1,23.08,23.08,GBP,04/07/2021
04/07/2021,4319,PO422-000066,2,PartNo87,20,2.61,52.2,GBP,04/07/2021
04/07/2021,3270,PO422-000066,3,PartNo88,20,0.3,6,GBP,04/07/2021
04/07/2021,2430,PO422-000066,4,PartNo89,60,0.11,6.6,GBP,04/07/2021
04/07/2021,2430,PO422-000066,5,PartNo90,20,0.94,18.8,GBP,04/07/2021
04/07/2021,40814,PO422-000066,1,PartNo91,20,17.49,349.8,GBP,04/07/2021
04/07/2021,5089,PO422-000067,1,PartNo92,25,2.8,70,GBP,04/07/2021
04/07/2021,4140,PO422-000068,1,PartNo93,56,0.6,33.6,GBP,04/07/2021
04/07/2021,3770,PO422-000068,2,PartNo93,69,0.6,41.4,GBP,15/07/2021
04/07/2021,40956,PO422-000069,1,PartNo86,1,21.14,21.14,GBP,04/07/2021
04/07/2021,40894,PO422-000070,1,PartNo94,4,8.12,32.48,GBP,04/07/2021
04/07/2021,3346,PO422-000071,1,PartNo95,1,214.25,214.25,GBP,09/07/2021
04/07/2021,2430,PO422-000072,2,PartNo5,1,9.95,9.95,GBP,11/07/2021
04/07/2021,41022,PO422-000072,1,PartNo96,1,168.95,168.95,GBP,04/07/2021
04/07/2021,4760,PO422-000073,1,PartNo97,1,355.1,355.1,GBP,04/07/2021
04/07/2021,4902,PO422-000074,1,PartNo98,2,44.81,89.62,GBP,09/07/2021
04/07/2021,4884,PO422-000075,1,PartNo99,2,6.14,12.28,GBP,04/07/2021
04/07/2021,473,PO422-000076,1,PartNo100,24,16.98,407.52,GBP,04/07/2021
04/07/2021,5109,PO422-000077,1,PartNo101,300,0.05,15,GBP,04/07/2021
04/07/2021,356,PO422-000078,1,PartNo102,3,14,42,GBP,04/07/2021
04/07/2021,16422,PO422-000079,1,PartNo103,1,8.33,8.33,GBP,04/07/2021
04/07/2021,4533,PO422-000080,1,PartNo104,10,5.51,55.1,GBP,04/07/2021
04/07/2021,4106,PO422-000081,1,PartNo105,3,22.58,67.74,GBP,04/07/2021
04/07/2021,2430,PO422-000081,2,PartNo106,6,2.92,17.52,GBP,04/07/2021
04/07/2021,14312,PO422-000081,3,PartNo107,3,30.37,91.11,GBP,04/07/2021
04/07/2021,2430,PO422-000081,4,PartNo108,4,8.46,33.84,GBP,04/07/2021
